product_id,country,launch_date,success,price
1,UK,2020-11-09 10:49:18,0,695.01
2,Brazil,2024-01-28 08:30:37,0,1183.2
3,France,2024-12-12 19:57:06,1,1332.01
4,Japan,2023-11-30 04:42:52,1,1388.19
5,UK,2021-04-17 01:01:29,0,1776.84
6,Australia,2022-11-14 07:24:04,0,545.78
7,India,2021-05-20 02:27:38,1,598.5
8,UK,2024-11-14 18:15:18,1,1437.68
9,France,2023-12-07 14:55:47,1,436.67
10,Japan,2023-04-20 10:44:35,1,982.11
11,Brazil,2022-06-22 10:51:49,1,138.07
12,France,2024-08-20 01:41:18,1,367.86
13,France,2024-06-14 07:25:53,1,1389.81
14,India,2024-07-21 02:04:05,1,1520.18
15,China,2020-01-29 02:45:51,1,319.11
16,Japan,2022-01-08 12:33:57,1,532.65
17,Germany,2024-09-19 14:08:35,1,287.92
18,France,2023-01-15 11:01:49,0,923.48
19,China,2022-04-20 15:05:16,0,339.62
20,Germany,2023-05-29 08:53:38,0,930.86
21,Japan,2021-04-25 09:13:58,0,1490.99
22,USA,2020-10-22 01:08:28,0,1398.44
23,Australia,2022-03-31 10:36:45,0,632.87
24,China,2021-05-03 13:25:48,0,1380.15
25,Canada,2024-05-25 12:24:03,1,1862.65
26,USA,2021-07-05 02:14:45,1,760.3
27,Australia,2023-05-18 08:37:07,0,725.33
28,India,2022-10-25 12:04:03,1,1185.73
29,UK,2024-12-09 16:19:30,1,566.45
30,Brazil,2023-02-22 13:22:45,1,1338.0
31,Canada,2020-01-06 20:49:55,1,1681.3
32,India,2021-11-05 07:18:16,0,972.71
33,Japan,2022-03-11 17:06:27,0,1391.06
34,India,2021-08-12 02:08:03,1,1338.58
35,UK,2022-12-29 05:40:33,0,173.46
36,Japan,2024-04-05 18:36:03,1,448.49
37,Canada,2024-04-09 04:47:18,0,1797.71
38,UK,2024-10-13 10:22:02,0,1883.9
39,Germany,2022-08-28 12:39:49,0,1582.84
40,Brazil,2024-10-02 20:08:35,0,1850.37
41,Canada,2022-10-23 05:10:52,1,681.68
42,Germany,2022-07-20 01:19:29,1,570.65
43,Australia,2024-02-01 08:50:20,0,830.17
44,Canada,2020-12-15 09:02:00,0,205.15
45,Australia,2024-03-31 00:50:49,0,1638.76
46,Japan,2020-08-17 14:42:38,0,1969.93
47,Germany,2024-09-07 04:11:43,1,1665.66
48,Brazil,2021-08-03 09:51:30,0,1154.45
49,UK,2022-01-30 22:01:28,1,661.04
50,France,2020-12-18 01:39:32,1,475.63
51,India,2021-10-03 08:32:30,0,791.72
52,USA,2024-02-09 07:35:16,1,1367.24
53,Brazil,2022-06-14 01:19:27,1,949.42
54,Germany,2024-12-04 00:55:15,1,1874.71
55,France,2021-03-20 12:07:37,1,1723.02
56,Brazil,2022-06-03 01:56:11,1,294.56
57,Germany,2020-03-27 02:08:16,1,349.9
58,China,2020-02-05 08:10:07,0,1384.85
59,China,2022-09-14 07:21:51,1,538.46
60,Australia,2021-11-28 08:30:37,1,1602.96
61,Brazil,2023-03-15 19:21:10,1,1223.58
62,China,2020-03-19 22:08:42,1,536.68
63,Germany,2023-12-09 12:28:07,1,1009.5
64,Australia,2021-06-19 12:56:32,0,871.54
65,Germany,2020-07-26 12:18:18,0,1759.0
66,Australia,2024-01-07 06:47:31,1,161.11
67,Brazil,2022-03-16 07:49:45,1,1802.1
68,France,2023-03-19 04:32:46,1,1338.96
69,UK,2020-10-19 07:37:21,1,1501.32
70,Canada,2020-06-27 04:01:15,1,104.95
71,France,2024-07-20 19:28:16,1,1293.65
72,Japan,2022-01-11 08:20:48,0,1218.12
73,Germany,2021-01-08 06:34:07,1,1120.69
74,Japan,2023-09-08 19:17:02,1,1593.15
75,France,2023-02-08 07:35:55,1,1156.16
76,Australia,2024-03-17 00:13:40,1,1728.48
77,Canada,2022-02-02 17:12:09,1,542.0
78,Canada,2020-05-30 10:33:37,0,1631.37
79,USA,2021-08-01 13:22:11,0,440.69
80,Canada,2020-02-17 11:35:53,1,1644.92
81,UK,2024-03-09 15:45:53,0,1886.88
82,Canada,2023-08-01 12:44:58,0,737.82
83,France,2024-09-05 09:33:32,0,1106.78
84,USA,2021-05-16 02:04:50,1,1350.83
85,France,2021-08-11 00:59:55,0,251.0
86,France,2023-08-24 00:18:10,1,1038.75
87,India,2021-12-25 14:35:06,1,785.11
88,USA,2024-04-26 21:28:16,1,1757.67
89,France,2020-11-15 13:14:29,1,1765.69
90,India,2022-02-25 20:46:40,0,1431.48
91,India,2020-09-25 16:19:13,1,1345.88
92,USA,2021-10-01 05:35:55,1,1494.01
93,Japan,2020-03-07 22:09:57,1,795.38
94,Australia,2020-06-03 03:21:55,1,868.59
95,UK,2023-07-12 14:58:45,1,1152.04
96,Australia,2022-07-03 10:31:55,0,1882.25
97,Canada,2022-07-12 16:23:52,0,1475.6
98,UK,2022-07-02 23:31:43,1,1146.88
99,Canada,2023-08-13 15:17:29,0,1563.78
100,France,2020-08-29 07:24:43,0,804.69
101,Germany,2020-10-03 11:36:09,1,1487.89
102,USA,2021-07-16 16:46:24,0,880.28
103,UK,2020-01-17 09:54:20,0,631.36
104,UK,2024-12-01 13:30:31,1,1258.48
105,France,2023-09-15 21:02:45,1,1405.07
106,Japan,2024-03-31 15:37:13,0,972.66
107,India,2020-02-23 16:37:02,1,1174.45
108,France,2023-06-17 21:30:29,1,1418.73
109,China,2020-10-23 22:57:19,1,1558.65
110,India,2023-05-19 12:05:00,0,1801.59
111,USA,2021-11-21 03:24:33,0,773.63
112,India,2023-12-03 13:58:57,1,1907.81
113,Japan,2024-04-21 22:12:40,0,1310.83
114,India,2024-12-13 04:33:15,1,1596.63
115,USA,2022-08-25 22:24:39,1,1429.56
116,Japan,2020-03-09 22:03:52,1,490.59
117,Australia,2023-10-15 18:45:31,1,235.73
118,UK,2023-10-16 03:04:57,1,1479.94
119,UK,2021-11-11 03:45:12,0,1071.0
120,Canada,2022-08-07 09:39:43,0,1434.21
121,Australia,2021-03-03 02:09:37,1,1006.0
122,Australia,2024-01-07 05:33:35,0,693.25
123,India,2023-10-16 13:01:07,1,641.53
124,UK,2020-11-12 22:03:39,1,1488.01
125,USA,2023-09-26 19:38:41,1,625.88
126,Brazil,2021-02-22 03:35:29,1,1457.89
127,Brazil,2023-10-14 01:56:29,1,829.52
128,Japan,2023-02-11 13:53:05,0,1564.71
129,UK,2022-02-03 18:12:27,1,371.34
130,UK,2024-01-07 06:57:40,0,489.46
131,Brazil,2021-12-15 21:26:51,1,1403.23
132,UK,2020-03-11 13:37:00,0,1164.44
133,India,2023-05-12 01:20:38,1,487.37
134,China,2020-01-14 20:18:31,0,1815.37
135,Germany,2020-12-08 16:57:45,0,624.29
136,Australia,2023-09-22 21:51:09,1,900.04
137,Canada,2023-09-20 02:26:44,1,484.35
138,Japan,2020-05-03 13:32:07,0,837.25
139,China,2023-11-15 16:23:41,0,1034.13
140,Brazil,2024-04-19 08:58:51,1,660.97
141,Australia,2023-06-30 22:22:13,1,1561.28
142,UK,2022-06-27 18:37:43,0,848.47
143,Canada,2023-09-15 01:19:31,1,1486.07
144,UK,2023-06-20 03:15:25,0,493.44
145,USA,2024-09-24 09:50:54,1,816.37
146,USA,2021-05-28 15:29:19,0,115.31
147,Canada,2023-06-09 21:15:15,1,1541.41
148,Canada,2023-05-29 06:56:44,0,1289.18
149,Brazil,2021-02-22 18:59:29,1,1653.86
